image_name;politician;112.ua, ?????????;112.ua, ??????????;112.ua, ?????????;112.ua, ???????;24 ?????, ?????????;24 ?????, ??????????;24 ?????, ?????????;24 ?????, ???????;??????, ?????????;??????, ??????????;??????, ?????????;??????, ???????;??????????, ?????????;??????????, ??????????;??????????, ?????????;??????????, ???????;ZN.UA, ?????????;ZN.UA, ??????????;ZN.UA, ?????????;ZN.UA, ???????;?????????? ??????, ?????????;?????????? ??????, ??????????;?????????? ??????, ?????????;?????????? ??????, ???????;??????? ??, ?????????;??????? ??, ??????????;??????? ??, ?????????;??????? ??, ???????;?????????-???????, ?????????;?????????-???????, ??????????;?????????-???????, ?????????;?????????-???????, ???????;LIGA.net, ?????????;LIGA.net, ??????????;LIGA.net, ?????????;LIGA.net, ???????;LB.ua, ?????????;LB.ua, ??????????;LB.ua, ?????????;LB.ua, ???????;Obozrevatel, ?????????;Obozrevatel, ??????????;Obozrevatel, ?????????;Obozrevatel, ???????;Politeka, ?????????;Politeka, ??????????;Politeka, ?????????;Politeka, ???????;????? ???????, ?????????;????? ???????, ??????????;????? ???????, ?????????;????? ???????, ???????;???-???????, ?????????;???-???????, ??????????;???-???????, ?????????;???-???????, ???????;????????, ?????????;????????, ??????????;????????, ?????????;????????, ???????;???, ?????????;???, ??????????;???, ?????????;???, ???????;?????????? ??????, ?????????;?????????? ??????, ??????????;?????????? ??????, ?????????;?????????? ??????, ???????;?????, ?????????;?????, ??????????;?????, ?????????;?????, ???????;?????, ?????????;?????, ??????????;?????, ?????????;?????, ???????;??????.???, ?????????;??????.???, ??????????;??????.???, ?????????;??????.???, ???????;ZIK, ?????????;ZIK, ??????????;ZIK, ?????????;ZIK, ???????;Znaj.ua, ?????????;Znaj.ua, ??????????;Znaj.ua, ?????????;Znaj.ua, ???????;??????.ua, ?????????;??????.ua, ??????????;??????.ua, ?????????;??????.ua, ???????;?????????????.net, ?????????;?????????????.net, ??????????;?????????????.net, ?????????;?????????????.net, ???????;???????, ?????????;???????, ??????????;???????, ?????????;???????, ???????;??????, ?????????;??????, ??????????;??????, ?????????;??????, ???????;??, ?????????;??, ??????????;??, ?????????;??, ???????;??????, ?????????;??????, ??????????;??????, ?????????;??????, ???????;Gazeta.ua, ?????????;Gazeta.ua, ??????????;Gazeta.ua, ?????????;Gazeta.ua, ???????;?????????, ?????????;?????????, ??????????;?????????, ?????????;?????????, ???????;?????????, ?????????;?????????, ??????????;?????????, ?????????;?????????, ???????;Zaxid.net, ?????????;Zaxid.net, ??????????;Zaxid.net, ?????????;Zaxid.net, ???????;?????, ?????????;?????, ??????????;?????, ?????????;?????, ???????;?????, ?????????;?????, ??????????;?????, ?????????;?????, ???????;????????, ?????????;????????, ??????????;????????, ?????????;????????, ???????;?????.ua, ?????????;?????.ua, ??????????;?????.ua, ?????????;?????.ua, ???????;????????????? ??????, ?????????;????????????? ??????, ??????????;????????????? ??????, ?????????;????????????? ??????, ???????
v_zelenskyi;????????? ??????????;12345;3452;4648;20445;1223;123;543;1889;4532;3546;986;9064;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577;568;456;2553;3577
d_shmyhal;????? ???????;345678;75346;32617;453641;3324;543;2324;6191;66431;752;343;67526;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740;5849;2345;5546;13740
v_klychko;??????? ??????;84783;1232;66883;152898;4325;6543;6464;17332;6743;35436;2324;44503;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463;876;346;1241;2463
p_poroshenko;????? ?????????;45678;67532;4357;117567;6431;65;355;6851;8775;1034;1980;11789;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421;2535;3463;2423;8421
v_liashko;?????? ?????;6654;1854;32668;41176;389;234;4243;4866;345;555;4313;5213;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078;255;367;6456;7078
o_honcharuk;??????? ????????;86970;76899;6378;170247;134;651;7657;8442;234;23275;255;23764;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534;654;2546;1334;4534
a_ermak;?????? ?????;6785;54336;976;62097;314;236;536;1086;765;3456;2352;6573;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776;246;765;765;1776
m_stepanov;?????? ????????;6678;665;456;7799;1357;6543;3452;11352;123;34542;25235;59900;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753;5342;3546;865;9753
a_avakov;????? ??????;8732;6738;1324;16794;7663;3323;2425;13411;532;3442;25333;29307;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110;678;865;4567;6110
m_saakashvili;?????? ??????????;14567;8659;87;23313;6748;5446;875;13069;1346;2342;9008;12696;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475;2456;354;2665;5475
