,Українська правда,Страна.ua,РБК-Україна,Obozrevatel,24 канал,Цензор.НЕТ,ТСН,Гордон,Politeka,УНІАН,Znaj.ua,LIGA.net,112.ua,Сьогодні,Апостроф,УНН,Українські новини,Еспресо ТВ,Радіо Свобода,Факти ICTV,LB.ua,Громадське,ZIK,ZN.UA,Фокус,Інтерфакс-Україна,Корреспондент.net,Главком,Вголос,НВ,Суспільне,Zaxid.net,Бабель,Gazeta.ua,Укрінформ,ГолосUA,Букви,КП в Украине,Факти,Телеграф,Вести,Name
0,0,0,1,0,0,0,1,0,0,4,0,2,1,3,0,0,0,0,58,0,1,17,0,3,1,83,0,0,0,4,9,2,0,0,77,2,1,0,0,0,1,Українська правда
1,2,0,5,8,2,1,25,8,0,3,0,1,0,1,1,4,19,1,15,0,1,4,0,4,1,131,0,1,0,4,8,2,0,0,31,0,3,3,0,0,1,Страна.ua
2,10,0,0,6,2,4,9,7,0,4,0,4,0,7,2,1,6,0,44,0,3,7,0,2,4,23,0,3,0,12,11,1,0,0,15,4,1,0,0,0,1,РБК-Україна
3,39,4,32,0,9,13,58,17,2,19,0,16,0,53,6,7,17,2,63,0,4,6,0,6,5,70,0,8,0,17,20,10,1,0,59,11,4,6,4,0,10,Obozrevatel
4,47,0,59,29,0,10,44,24,0,16,0,5,0,0,3,8,1,1,97,0,11,20,0,11,9,104,0,7,2,51,48,4,2,0,92,5,5,3,0,0,2,24 канал
5,38,0,193,17,2,0,24,48,0,46,0,21,1,88,1,5,5,4,109,5,7,26,0,15,6,344,1,9,0,25,31,3,1,1,234,1,6,0,1,0,0,Цензор.НЕТ
6,3,0,8,7,1,0,0,1,0,5,0,1,0,3,0,0,0,5,19,1,0,3,0,0,1,28,0,0,1,8,13,6,0,0,16,4,0,0,0,0,1,ТСН
7,34,0,50,30,5,34,7,0,2,8,0,16,1,59,6,6,12,2,65,0,10,20,0,3,1,56,2,8,1,32,32,3,10,2,50,1,6,1,8,0,2,Гордон
8,9,6,26,45,2,14,39,5,0,4,196,4,3,10,12,1,2,1,3,0,0,4,0,3,3,11,1,7,0,3,20,2,0,0,5,17,0,9,1,0,8,Politeka
9,63,11,46,46,18,4,184,9,0,0,1,5,1,41,8,1,13,1,30,1,6,7,0,3,1,0,1,1,0,25,18,6,3,0,0,2,2,2,0,0,5,УНІАН
10,5,1,11,15,2,9,68,1,1,10,0,4,0,4,6,1,1,3,10,0,4,10,0,2,2,6,1,8,2,3,26,10,0,1,2,7,0,4,1,0,5,Znaj.ua
11,9,0,11,0,0,4,4,2,0,1,2,0,0,2,1,0,0,1,32,1,2,14,0,4,4,25,0,2,0,11,17,1,2,0,27,5,0,0,0,0,2,LIGA.net
12,23,12,32,2,1,3,6,7,0,5,0,3,0,10,3,5,11,1,33,0,1,4,0,4,1,37,0,1,0,7,10,0,0,0,31,3,2,1,1,0,2,112.ua
13,16,1,28,31,1,10,1,18,15,4,10,6,1,0,2,5,3,1,34,0,0,4,0,2,0,32,0,9,2,9,22,4,5,0,22,1,2,0,0,0,1,Сьогодні
14,14,2,16,38,7,15,29,3,0,7,2,7,0,14,0,4,12,4,11,0,3,2,0,4,2,12,2,6,1,5,9,1,0,3,9,11,3,5,2,0,15,Апостроф
15,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,77,0,0,3,0,0,1,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,1,УНН
16,67,28,25,69,5,13,11,6,0,7,1,6,2,31,6,1,0,0,11,0,4,5,0,4,1,11,2,2,0,7,9,2,1,3,6,2,2,7,2,0,2,Українські новини
17,31,0,99,4,5,24,11,3,0,9,0,10,0,17,1,0,2,0,84,2,5,15,0,4,1,82,1,3,1,18,19,2,3,0,110,5,3,0,1,0,1,Еспресо ТВ
18,1,0,2,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,Радіо Свобода
19,3,0,7,2,0,0,0,0,0,3,0,2,0,1,0,2,0,0,2,0,1,5,0,0,3,4,0,0,0,8,19,2,0,0,0,1,0,0,1,0,0,Факти ICTV
20,24,0,11,1,0,2,2,3,0,3,0,7,0,0,1,2,3,0,45,0,0,4,0,1,0,105,0,3,1,12,10,6,0,0,44,1,2,0,0,0,0,LB.ua
21,7,0,1,1,0,0,1,3,0,0,0,0,0,1,1,0,0,1,28,0,1,0,0,0,1,14,0,1,0,7,10,1,0,0,14,0,1,0,0,0,1,Громадське
22,39,17,46,2,7,5,6,0,0,1,1,1,20,17,0,1,6,1,22,0,0,2,0,3,3,22,3,0,2,4,7,4,7,0,39,1,1,0,2,0,4,ZIK
23,44,0,35,5,4,9,4,6,1,8,0,10,0,11,0,1,5,1,59,0,6,14,0,0,3,155,0,1,1,33,14,0,7,0,63,1,1,0,0,0,0,ZN.UA
24,11,8,10,9,2,5,9,5,0,6,0,5,6,17,4,1,7,0,17,0,3,7,0,5,0,23,0,0,0,5,17,1,1,1,16,2,3,1,1,0,2,Фокус
25,6,0,2,2,0,0,2,3,0,0,0,1,1,7,0,0,1,0,14,0,3,6,0,1,1,0,0,1,1,9,5,0,0,0,0,2,0,0,0,0,1,Інтерфакс-Україна
26,42,11,34,2,2,1,41,4,0,15,1,4,0,37,2,3,10,1,44,0,6,7,0,2,6,63,0,1,0,10,29,4,0,0,70,0,0,2,0,0,1,Корреспондент.net
27,38,5,71,38,7,22,38,13,0,15,0,14,0,41,11,12,15,11,63,0,16,11,0,7,5,50,0,0,2,17,66,3,2,2,80,13,2,2,2,0,1,Главком
28,4,0,19,13,2,1,21,2,0,5,0,0,0,1,1,9,0,2,8,0,0,2,0,0,2,6,0,3,0,3,12,0,0,0,14,0,1,0,0,0,0,Вголос
29,25,0,10,18,3,13,16,15,1,8,0,7,1,2,0,0,3,4,97,0,7,20,0,7,0,138,0,1,0,0,58,9,6,0,80,3,2,1,0,0,1,НВ
30,4,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,15,0,3,10,0,0,1,3,0,1,0,8,0,0,0,0,7,3,0,0,0,0,0,Суспільне
31,27,0,5,1,27,5,4,1,0,2,0,5,0,0,1,1,1,1,37,0,5,13,0,4,1,22,0,1,0,9,10,0,5,0,24,2,3,0,1,0,1,Zaxid.net
32,16,0,8,1,0,0,1,1,0,0,0,3,0,1,1,0,1,2,34,0,1,5,0,1,0,42,0,2,0,5,13,1,0,0,23,7,0,0,0,0,0,Бабель
33,52,1,34,48,17,15,73,4,0,26,0,14,0,49,8,8,5,9,55,1,5,8,0,10,5,36,1,2,0,20,23,6,4,0,49,3,6,4,1,0,4,Gazeta.ua
34,10,0,3,2,2,8,4,10,0,2,1,2,0,8,0,0,0,1,40,0,5,6,0,0,4,19,0,1,0,19,20,1,0,0,0,0,0,0,0,0,0,Укрінформ
35,15,6,55,44,15,9,122,0,21,49,1,4,8,0,17,21,5,3,17,0,3,4,0,3,4,26,3,4,0,10,13,5,0,0,14,0,3,2,1,0,9,ГолосUA
36,2,0,1,2,1,12,2,8,0,0,0,2,0,7,0,0,0,2,4,0,2,0,0,0,1,6,0,4,0,5,2,1,3,0,4,2,0,0,0,0,0,Букви
37,14,2,11,7,0,10,15,5,0,1,2,1,3,11,4,3,11,0,12,0,1,8,0,3,2,42,0,1,1,5,9,0,2,1,18,5,0,0,1,0,1,КП в Украине
38,19,0,12,15,3,7,13,24,1,4,0,3,0,12,2,6,4,1,12,0,0,4,0,1,2,18,2,1,0,5,9,1,0,1,17,8,1,2,0,0,1,Факти
39,12,2,6,15,5,5,10,13,0,2,0,4,8,15,7,4,4,5,28,0,6,5,0,6,3,13,4,1,0,5,10,3,2,0,8,7,2,3,2,0,4,Телеграф
40,19,4,26,16,0,5,26,10,0,11,1,5,7,22,2,18,15,3,23,0,2,7,0,2,4,60,7,2,0,10,10,0,1,0,22,7,1,1,6,0,0,Вести
