image_name;name;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
v_zelenskyi;Володимир Зеленський;23;59;59;38;88;138;13;10;15;33;104;117;32;40;107;32;74;174;35;78;123;12;40;67;13;74;183;34;68;132;22;59;65;27;86;184;36;54;110;14;24;46;17;50;56;36;50;60;62;68;81;27;46;144;23;53;78;62;91;65;25;69;115;65;89;293;4;11;41;6;31;30;74;84;136;24;39;44;21;20;65;27;72;89;86;85;254;61;101;93;10;34;40;5;12;48;9;48;41;14;26;100;147;90;171;50;74;103;57;33;77;84;63;128;8;37;47;26;56;58;72;68;247;122;135;163
m_stepanov;Максим Степанов;4;16;14;5;31;18;0;1;2;5;54;17;7;21;11;5;43;32;20;73;64;1;22;5;3;16;4;5;34;25;1;23;12;1;35;17;1;25;26;4;21;5;5;7;11;7;17;10;6;17;16;7;38;107;3;28;14;1;29;38;4;13;10;14;27;62;5;7;10;2;13;7;14;31;24;1;7;2;11;6;5;4;32;16;21;41;74;11;55;11;4;58;15;1;6;9;10;15;13;8;20;16;26;15;18;7;8;8;14;14;23;12;20;19;1;7;7;5;40;16;19;28;33;19;70;45
d_kuleba;Дмитро Кулеба;2;13;17;1;6;31;0;1;0;4;21;49;7;14;42;2;5;13;4;17;50;2;8;21;0;5;5;4;7;30;3;11;16;2;3;14;1;6;23;1;7;22;0;2;7;1;3;9;11;6;11;3;9;35;3;9;24;8;23;32;0;7;9;7;15;47;0;0;0;0;1;10;6;12;13;0;0;0;3;2;6;3;16;30;14;14;37;9;12;51;1;2;8;0;2;4;2;6;9;1;2;5;11;17;21;0;2;3;6;5;11;2;6;6;0;2;3;3;6;23;14;15;42;25;29;35
v_medvedchuk;Віктор Медведчук;2;2;6;4;7;20;0;2;2;1;7;9;3;6;16;0;10;33;1;1;4;1;4;7;11;33;104;4;7;12;3;3;6;11;23;77;0;2;10;1;1;1;2;5;6;3;5;15;1;1;5;3;10;34;2;7;7;0;3;7;3;4;13;4;13;35;2;2;4;0;2;2;1;1;8;1;1;0;1;5;4;1;0;3;3;4;21;5;4;12;0;4;4;2;4;8;1;4;4;1;2;8;40;24;62;8;24;46;5;4;9;29;16;63;1;1;8;0;1;4;6;4;34;4;4;17
d_shmyhal;Денис Шмигаль;6;5;1;3;16;6;9;8;5;13;26;7;4;7;4;5;15;8;7;10;6;3;5;2;6;7;4;8;13;3;5;6;2;4;18;6;6;10;7;2;3;2;5;4;0;5;3;4;5;8;5;6;9;26;9;17;0;15;19;1;3;5;3;13;16;11;1;4;8;0;2;2;9;5;2;0;9;4;4;0;0;7;8;4;12;17;25;34;27;11;2;8;3;1;3;2;4;4;0;2;10;2;21;0;5;1;2;1;7;4;2;9;2;7;4;5;0;2;10;4;13;11;7;25;6;11
v_klychko;Віталій Кличко;4;4;4;0;12;13;1;1;1;6;13;11;0;1;2;1;4;10;2;2;32;0;4;4;1;2;0;3;7;22;7;10;14;3;4;27;3;4;21;3;4;7;4;8;8;4;2;7;10;15;14;1;3;16;0;11;2;4;11;33;0;5;8;6;10;21;1;0;0;0;0;0;5;3;14;2;2;2;0;1;1;4;4;9;8;18;34;4;7;36;0;4;12;0;2;0;1;3;1;0;1;7;8;3;9;2;1;6;2;5;9;3;3;7;0;1;2;1;5;10;11;12;19;9;10;40
p_poroshenko;Петро Порошенко;1;5;6;17;7;23;0;0;0;6;7;10;2;2;3;2;5;19;0;1;16;0;0;3;0;3;16;2;1;2;8;6;14;0;4;12;4;1;6;1;2;1;2;2;10;6;2;7;4;7;6;1;2;12;4;10;9;9;5;12;7;9;16;7;5;23;2;3;11;0;0;0;12;5;29;5;5;10;0;2;11;1;3;3;12;12;21;1;4;11;1;0;3;2;0;7;0;2;5;5;10;19;16;9;23;1;2;4;3;1;11;4;2;11;2;2;2;2;1;0;8;8;22;18;9;18
v_liashko;Віктор Ляшко;2;15;4;6;13;5;0;0;0;4;24;6;2;5;4;5;17;8;1;8;5;0;10;3;0;8;2;4;20;6;1;7;2;0;15;5;4;10;4;3;16;9;0;3;4;4;6;2;2;11;2;2;4;8;0;18;2;3;10;0;1;4;1;5;20;16;1;1;1;1;2;4;1;8;3;1;1;0;7;1;1;1;13;3;5;13;11;1;26;6;0;10;4;1;8;1;0;6;2;4;7;7;9;6;0;2;1;1;6;4;2;1;5;6;0;5;1;6;9;4;11;7;5;4;12;4
y_vitrenko;Юрій Вітренко;0;3;1;3;6;6;2;10;5;0;17;9;2;7;7;4;11;15;5;6;11;0;5;4;1;5;0;2;7;4;5;12;9;2;7;2;1;9;3;0;3;2;2;4;6;3;6;5;5;12;5;1;7;7;0;2;5;6;5;16;0;6;2;2;14;25;0;0;1;0;3;1;2;4;10;0;1;0;3;2;0;1;6;3;3;7;17;5;9;3;1;1;2;1;2;3;0;3;2;1;3;0;13;9;8;3;5;7;5;3;6;2;4;5;2;3;1;0;6;4;11;13;23;6;8;7
a_yermak;Андрій Єрмак;2;8;2;2;5;9;0;0;0;1;5;6;2;2;8;1;4;17;2;2;3;0;1;3;1;0;3;0;2;7;0;1;5;0;3;4;1;1;4;0;0;3;2;1;9;1;4;7;2;6;3;3;2;9;1;6;5;6;9;6;1;6;10;1;14;19;0;1;1;0;0;1;7;11;9;0;3;1;2;1;3;3;4;6;9;5;15;4;7;7;2;0;3;0;2;1;0;2;3;0;1;8;16;5;6;3;9;7;7;1;2;3;6;2;0;2;3;1;1;5;3;2;17;9;13;10
