image_name;name;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
v_zelenskyi;Володимир Зеленський;36;50;76;22;63;58;14;33;48;2;12;8;38;30;58;22;22;36;13;30;140;16;35;71;46;48;48;4;16;29;48;53;58;27;59;58;40;63;124;23;20;31;30;39;53;17;24;21;21;46;85;16;30;47;18;17;27;22;29;33;22;48;115;6;9;29;16;42;30;4;8;15;82;40;89;19;43;86;42;46;122;34;35;32;7;12;16;9;17;17;27;27;60;48;65;66;39;29;61;51;21;39;14;17;25;26;59;50;45;50;83;19;32;41;16;28;52;70;68;159;5;27;25;56;52;66
v_medvedchuk;Віктор Медведчук;3;9;64;0;5;31;4;7;19;0;2;3;4;5;61;1;3;30;16;24;224;0;4;31;4;12;28;0;1;14;1;4;24;2;3;44;3;1;87;3;0;21;3;7;44;0;2;40;1;0;43;0;11;44;6;10;41;1;1;3;14;27;196;0;3;19;2;9;20;2;3;18;28;25;123;3;9;59;9;11;77;1;2;15;1;5;20;1;1;13;15;14;105;1;0;19;10;24;82;9;8;52;0;7;14;4;14;59;7;9;87;1;1;10;0;3;27;6;16;122;2;7;22;7;15;108
m_stepanov;Максим Степанов;2;17;18;4;25;16;2;13;6;0;3;0;6;10;15;1;8;8;0;6;4;5;26;15;3;9;12;2;6;4;3;12;5;3;25;6;6;30;15;5;17;7;4;19;12;2;10;4;14;12;6;2;8;18;1;8;9;3;6;6;1;14;8;4;6;3;0;12;1;2;4;5;12;12;24;2;15;10;12;28;10;1;10;7;0;6;3;3;10;2;3;6;10;6;22;7;2;15;9;6;6;17;1;4;2;1;24;11;7;13;28;2;16;8;1;10;10;10;34;28;2;6;5;7;17;17
p_poroshenko;Петро Порошенко;6;7;22;2;3;7;2;8;16;0;2;0;7;2;24;3;2;5;1;2;14;0;5;6;3;7;6;2;3;12;4;5;15;3;4;9;11;9;34;3;4;17;1;2;13;2;2;9;1;4;50;1;0;7;4;6;8;2;7;5;2;2;15;1;2;9;0;1;3;1;2;15;8;10;22;4;3;26;3;4;16;0;0;5;0;0;2;1;2;5;6;1;8;1;4;3;2;2;13;7;0;15;1;1;6;2;7;11;7;10;30;3;1;2;1;4;15;4;11;35;1;4;9;8;8;16
t_kozak;Тарас Козак;0;0;20;0;1;5;1;1;5;0;0;0;0;1;14;0;1;19;0;0;17;0;0;28;1;2;6;0;0;1;0;0;13;1;1;20;0;1;37;1;0;9;0;0;11;0;1;28;0;0;31;0;1;5;2;1;7;0;0;0;0;0;12;0;0;16;1;1;8;1;2;12;1;2;16;0;5;18;3;4;41;0;0;2;0;0;4;0;0;9;0;0;5;0;0;9;0;2;11;1;1;11;0;0;2;0;1;18;3;5;65;0;0;9;0;2;20;0;3;32;0;1;3;1;5;77
v_liashko;Віктор Ляшко;5;11;4;5;15;2;1;7;5;0;1;0;6;11;8;4;3;4;0;6;2;2;4;3;3;8;3;1;1;0;2;14;4;6;20;4;5;18;5;5;12;2;4;13;8;4;7;1;11;10;3;1;10;9;1;5;2;0;2;0;0;10;0;4;6;2;1;13;0;1;3;0;10;15;16;4;13;3;11;17;3;0;8;4;1;1;0;4;8;0;4;6;3;4;18;2;1;7;5;5;5;4;0;4;2;5;16;3;6;14;18;2;9;4;3;5;2;7;17;11;2;12;0;5;17;6
v_klychko;Віталій Кличко;4;3;14;3;6;14;2;6;6;0;0;0;2;8;10;3;0;4;0;2;2;1;4;6;10;7;21;1;1;7;2;5;7;4;1;7;2;5;31;7;1;8;4;3;5;0;0;4;1;1;21;4;2;19;3;1;19;2;2;7;1;3;7;0;0;3;0;3;4;0;0;0;8;8;21;3;1;18;2;9;32;1;2;7;0;0;0;1;1;4;2;6;20;0;3;8;2;4;4;5;2;13;1;2;5;4;5;14;2;5;18;0;0;0;0;1;0;7;6;29;0;6;6;7;4;14
d_shmyhal;Денис Шмигаль;6;7;11;5;12;5;1;4;3;2;7;2;3;3;1;2;2;4;1;9;4;3;10;8;3;2;5;0;3;2;5;10;4;6;12;7;7;19;11;4;5;6;4;6;9;3;4;5;6;5;7;2;2;5;2;2;4;2;7;4;2;5;4;1;1;2;1;9;5;0;3;3;5;2;9;0;5;7;8;17;9;5;6;3;0;0;2;5;8;1;3;2;4;18;23;9;0;0;3;4;3;9;1;1;1;5;10;10;2;7;14;0;5;10;0;2;9;9;25;20;0;4;2;4;1;7
d_kuleba;Дмитро Кулеба;0;4;8;5;11;8;3;5;5;0;0;0;2;0;1;0;0;4;3;1;3;5;8;10;0;1;0;0;0;1;11;9;14;3;10;9;3;5;6;4;5;4;1;6;7;4;6;5;3;7;11;3;2;0;0;0;0;0;0;2;3;6;1;0;1;1;2;5;6;1;1;0;2;0;0;1;1;5;3;3;8;2;5;7;0;1;3;1;1;2;0;0;0;13;11;13;0;0;0;3;0;0;0;2;1;6;9;7;0;0;1;2;3;10;1;1;2;6;10;15;1;1;3;2;2;3
i_venediktova;Ірина Венедіктова;0;1;10;0;2;7;0;1;4;0;1;0;1;1;10;0;0;3;0;1;13;0;0;12;0;2;4;0;0;0;1;2;7;1;1;5;0;2;51;0;0;2;0;2;7;0;1;6;0;0;8;0;1;6;0;1;7;0;0;0;0;0;13;0;0;3;0;3;3;0;0;2;1;0;12;1;3;8;0;3;9;0;0;2;0;0;2;0;1;4;0;1;6;1;1;6;0;0;3;1;2;19;0;0;2;0;3;6;0;1;13;0;1;5;0;0;19;0;3;25;0;0;3;3;3;20
